N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
C56;;921007050;Classatori 7cm turchese;10;SC;15;15/26.3.2021;;10;;;NO
C57;;921007;Classatori 7 cm bianchi;10;SC;10;15/26.3.2021;;10;;;NO
C58;;921007020;Classatori 7cm rosa;10;SC;27;15/26.3.2021;;10;;;NO
C59;;;Classatori 7cm lilla;10;SC;19;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C6;;;Calamite nere 30/35 mm;10;SC;50;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C60;100000029;;Classatori 4cm arancio;15;SC;21;15/26.3.2021;;10;;;NO
C61;;921004;Classatori 4cm bianchi;15;SC;19;15/26.3.2021;;10;;;NO
C62;100000032;;Classatori 4cm blu;15;SC;21;15/26.3.2021;;10;;;NO
C63;;921004001;Classatori 4cm gialli;15;SC;12;15/26.3.2021;;10;;;NO
C64;100000030;;Classatori 4cm grigi;15;SC;22;15/26.3.2021;;10;;;NO
C65;;921004020;Classatori 4cm rosa;15;SC;10;15/26.3.2021;;10;;;NO
C66;;921000002;Classatori 4cm rossi;15;SC;6;15/26.3.2021;;10;;;SI, 4
C67;100000033;;Classatori 4cm verdi;15;SC;18;15/26.3.2021;;10;;;NO
C67.1;;;Classatori 4 cm verde chiaro;15;SC;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C68;;;Classatori 4cm viola;15;SC;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C69;;;Classatori 4 cm turchese;15;SC;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C7;;;Calamite verdi 20/25 mm;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C70;;;Colla attacca-stacca;1;PZ;16;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C71;100000144;;Colla stick;1;PZ;17;15/26.3.2021;;5;;;NO
C73;;;Colla stick Universale;1;PZ;4;15/26.3.2021;Si;;vedi C71;;No, attendere fine stock ed eliminare articolo
C75;;;Colori ;;SC;3;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C8;;;Calamite verdi 30/35 mm;10;SC;50;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C80;;;Calcolatrici Tascabili;1;PZ;2;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C9;;;Cassette audio 60 min;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C90;;;CD-R (registrabili);;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C91;;;CD-RW (registrabili diverse volte;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C92;;;Digital 8 Cassette videocamera digitale;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
D1;;;DVD-R;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
D2;;;DVD-RW;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
E1;;101901670;Etichette dorsi classatori 7cm;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
E10;"""100000128""";;Elastici fini (601118);1 (100g);SC;10;15/26.3.2021;;;;;Manca quantità MINIMA
E2;;;Etichette dorsi classatori 4cm;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
E5;100000152;;Etichette per mappette VetroMobil;;;1100;21.04.2021;;;;;Manca quantità MINIMA
F1;;602511;Fogli cubo con box 9x9x9;1;PZ;1;21.04.2021;;1;;;NO
F10;;;Fissatori fogli;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
F15;100000600;;Feltri per magneti lavagna bianca;10;SC;300;21.04.2021;;20;;;NO
F2;;602504;Fogli cubo 9x9x9 ricarica;1;PZ;11;21.04.2021;;5;;;NO
F20;100000076;;Fogli adesivi A4;200;SC;750;21.04.2021;;;;;Manca quantità MINIMA
F21;;;Fogli rigati A4x2 (1 scatola 250 fogli);250;SC;1250;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
F25;;;Fogli trasparenti per ricalchi;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
