N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
S32;;;Spugne per Smart Board;1;PZ;9;05.05.2021;;2;etichettarli dal custode/ vedi commento P1.1;;NO
S35;100000159;;Spago;1;PZ;5;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
S36;100000067;;Scatole d'archivio 8 cm;;;0;15/26.3.2021;Si;;Segr.;;No, attendere fine stock ed eliminare articolo
S37;100000066;;Scatole d'archivio 10 cm;;;0;15/26.3.2021;Si;;Segr.;;No, attendere fine stock ed eliminare articolo
S4;;301136126;Scotch biadesivo (ricarica);1;PZ;18;15/26.3.2021;;5;;;NO
S5;100000080;;Scotch trasparente removibile (ricarica);1;PZ;4;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
S6;;;Spine elettriche 220V tipo 12 (10A);;;0;15/26.3.2021;;;si acquistano solo su bisgono;;Manca quantità MINIMA
S7;10000075;;Stracci per lavagna;;;0;15/26.3.2021;;;Vedi custode;;Manca quantità MINIMA
T1;100000169;;Taglierini con lama 9 mm;1;PZ;4;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
T10;100000135;;Tampone nero per timbri;1;PZ;2;15/26.3.2021;;3;;;SI, 1
T11;100000136;;Tampone rosso per timbri;1;PZ;3;15/26.3.2021;;3;;;NO
T15;;;Tappettini Mouse;;;0;15/26.3.2021;Si;;Segr.;;No, attendere fine stock ed eliminare articolo
T2;100000370;;Taglierini con lama 18 mm;1;PZ;1;15/26.3.2021;;1;;;NO
T20;100000118;;Tip-ex mouse;1;PZ;16;21.04.2021;;10;;;NO
T21;100000068;;Tip-ex liquido;1;PZ;4;21.04.2021;;2;;;NO
T25;100000161;;Temperini;1;PZ;40;15/26.3.2021;;5;;;NO
T30;100000168;;Tagliacarta per ufficio (apri buste);1;PZ;5;15/26.3.2021;;2;;;NO
T4;;915021629;Tavoletta portablocco;1;PZ;5;21.04.2021;;2;;;NO
T5;;914014;Lame 18 mm per taglierini;10;SC;70;15/26.3.2021;;10;;;NO
TD1;;;Tabelle diario 1 classe;;;0;15/26.3.2021;Si;;Segr.;;No, attendere fine stock ed eliminare articolo
TD4;;;Tabelle diario 4 classi;;;0;15/26.3.2021;Si;;Segr.;;No, attendere fine stock ed eliminare articolo
TF1;;;Tabelle per il controllo delle frequenze;;;0;15/26.3.2021;Si;;Segr.;;No, attendere fine stock ed eliminare articolo
U4;;970415;Penne USB 4 GB;1;PZ;13;15/26.3.2021;;5;;;NO
V1;;;VHS 120min cassette video;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V2;;;VHS 180min cassette video;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V3;;;VHS 240min cassette video;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V4;;;VHS 30min cassette video;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V5;;;VHS 60min cassette video;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V6;;;VHS 90min cassette video;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V7;;;VHS-C 45min cassette videocamera;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
V8;;;Video 8 Cassette videocamera;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
Z1;;;Zip Iomega 250 Mb per PC;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
;;;graffatrice lunga Leinz 5560;;;1;;;;Vedi G10 o G12 oppure agg;;Manca quantità MINIMA
;;;Ganci per lavagna bianca;;;3;;Si;;Vedi M50;;No, attendere fine stock ed eliminare articolo
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
